ordinal,target_timestamp_utc,roles,day_utc,bracket_start_block,bracket_end_block_exclusive,predecessor_block,predecessor_hash,predecessor_timestamp_utc,chosen_block,chosen_hash,chosen_timestamp_utc,predecessor_lt_target,chosen_gte_target,parent_hash_match,chosen_minus_target_seconds,target_minus_predecessor_seconds
77,2025-09-25T13:00:00Z,campaign_snapshot_022,2025-09-25,382683506,383030432,382871453,0x918197a225c0d217b843fd36fae762b64d72aa807af01e493f88eb0e449d6076,2025-09-25T12:59:59Z,382871454,0x884f86c6f75d6752a0470674a643eb24b3ccace247596945bbb19096e2c8f3d1,2025-09-25T13:00:00Z,True,True,True,0,1
78,2025-09-26T13:00:00Z,campaign_snapshot_023,2025-09-26,383030432,383376865,383218186,0x31cd5b1692adf25efb62a9a26d732a3712e5a458a43197e78abbda0d489983fd,2025-09-26T12:59:59Z,383218187,0x580c888aaea39ec60c9a56a7cff3c5392679004fa708b292266ed230d64cb2e4,2025-09-26T13:00:00Z,True,True,True,0,1
79,2025-09-27T13:00:00Z,campaign_snapshot_024,2025-09-27,383376865,383723284,383564513,0x4998daed47bea5cce1031a39474c14c54003659ed7923312b0efbfd882210c64,2025-09-27T12:59:59Z,383564514,0x1861b4a1f5409872b9cc8f84e9d390aa066785255bfbd17e151bcf43080084b5,2025-09-27T13:00:00Z,True,True,True,0,1
80,2025-09-28T13:00:00Z,campaign_snapshot_025,2025-09-28,383723284,384069217,383910646,0x4d51e6eea50756d77b029d990bf80536b795051d1544bc952172e5a68454d9ea,2025-09-28T12:59:59Z,383910647,0xb7ab2acaa39c49977372b13a333f532bd4941a1a059f06fad5d037b5da0c5a5c,2025-09-28T13:00:00Z,True,True,True,0,1
81,2025-09-29T13:00:00Z,campaign_snapshot_026,2025-09-29,384069217,384415208,384256637,0xcfdb4e43c90c4bcd69d62b0f7d29cf3f663504e8547c5af86fd71d9779c03e1b,2025-09-29T12:59:59Z,384256638,0xc8e719e6b06e40a443f25f9282464be3319668ef20b5432224fc66c23dc68d71,2025-09-29T13:00:00Z,True,True,True,0,1
82,2025-09-30T13:00:00Z,campaign_snapshot_027,2025-09-30,384415208,384761330,384602702,0xfa2782dfa73ca896099d228fa89abcef699f34a386364104c60dfddd193f139b,2025-09-30T12:59:59Z,384602703,0xf0377cefb78737aad8499fc1f94c0a90724ba3d637b333c4717942e4230aedcf,2025-09-30T13:00:00Z,True,True,True,0,1
83,2025-10-01T13:00:00Z,campaign_snapshot_028,2025-10-01,384761330,385107521,384948831,0x7ba579e34f68cd2fe6d3d30f83d481b3607014fa75c85d0446828d4175f22ff9,2025-10-01T12:59:59Z,384948832,0x471b2ea5d4f2868b9fb0591b7f3f51f791c37de8571bff61bd49e82fb8450d11,2025-10-01T13:00:00Z,True,True,True,0,1
84,2025-10-02T13:00:00Z,campaign_snapshot_029,2025-10-02,385107521,385453505,385294975,0x127f50d5add4b7eaafd93d3f71a578f08f52fb55754ef2290dd61a311cf27842,2025-10-02T12:59:59Z,385294976,0x82c28d8e802a2d49586c6480a8c2c86f9e6b7e7d894b32f9bcf81d3c622d6204,2025-10-02T13:00:00Z,True,True,True,0,1
85,2025-10-03T13:00:00Z,campaign_snapshot_030,2025-10-03,385453505,385799265,385640829,0x6ba16aaf854b016a33f4cb8e7fe3e64ea8f8989548f8942aa9783f820ee7e29c,2025-10-03T12:59:59Z,385640830,0x66b06ac3ed467af694c1aad8208172bad16082ae520f6c5900545f3a13a2b6e2,2025-10-03T13:00:00Z,True,True,True,0,1
86,2025-10-04T13:00:00Z,campaign_snapshot_031,2025-10-04,385799265,386145223,385986530,0x5864f4514b0a6844fa0f75fb8eaa7ab2e245d9c7a07846c0db3af8a5e929fc43,2025-10-04T12:59:59Z,385986531,0xe0479e41f7ac508c6b0513ce28976040fc9df9773901abb8fdeec5bf329d3560,2025-10-04T13:00:00Z,True,True,True,0,1
87,2025-10-05T13:00:00Z,campaign_snapshot_032,2025-10-05,386145223,386491322,386332928,0x7a236d4dbd1ca23b8513e4370265baad040e0c62466bc48950c943f8782b303e,2025-10-05T12:59:59Z,386332929,0x654d7653558f34eee2664a37ccbc5a5f19c346b1f6d28cf590f73fe7b5a11422,2025-10-05T13:00:00Z,True,True,True,0,1
88,2025-10-06T13:00:00Z,campaign_snapshot_033,2025-10-06,386491322,386837514,386678710,0xc5163656143610c78fc0d41ec640af9655faa077b80e341a10e30b1c93dccec9,2025-10-06T12:59:59Z,386678711,0xd8313e8431c547909c354d92614bd754e23f2956bcbe1be74e5223557a7bf901,2025-10-06T13:00:00Z,True,True,True,0,1
89,2025-10-07T13:00:00Z,campaign_snapshot_034,2025-10-07,386837514,387184021,387025199,0xf4e62c70132630d9876345148fec3d1287f579ff186e00034ec3ea8dcb320924,2025-10-07T12:59:59Z,387025200,0x8046d92b0f2803c2ec6b78d80faebf6d450bdae5713b39f6464afa6928e05734,2025-10-07T13:00:00Z,True,True,True,0,1
90,2025-10-08T13:00:00Z,campaign_snapshot_035,2025-10-08,387184021,387530359,387371581,0x5e97603e3a5c0aa64f5881f13ea7efdf6b6509c9a96afb6dd1b1c526df38be2c,2025-10-08T12:59:59Z,387371582,0xab44f7388efc3e7e1d4ddee5b42f41235b14579932584254f987d1cd9bec5f35,2025-10-08T13:00:00Z,True,True,True,0,1
91,2025-10-09T13:00:00Z,campaign_snapshot_036,2025-10-09,387530359,387876437,387717903,0xbd312e98d7389dbf71932b907c97f861da194973d5f2fb3e15c5d96b8f34738a,2025-10-09T12:59:59Z,387717904,0xe92395bba59a21ee21745a35a1dbde4deb771ed1e66284e5f516271fdc510358,2025-10-09T13:00:00Z,True,True,True,0,1
92,2025-10-10T13:00:00Z,campaign_snapshot_037,2025-10-10,387876437,388222719,388064026,0x9a00cc5eadecf769b26f8555462fc583f949fbeced20d00f01368af6d72375c5,2025-10-10T12:59:59Z,388064027,0x92985491777f5e87bb3b6af30f8f8dec843e1219b2342bdff061abd872033f8a,2025-10-10T13:00:00Z,True,True,True,0,1
93,2025-10-11T13:00:00Z,campaign_snapshot_038,2025-10-11,388222719,388569087,388410397,0x74d2915eb414e5b3ba77f3168b7755cdcfddeaab31376ff21cb0626a645de0fa,2025-10-11T12:59:59Z,388410398,0xf5578e098268faa68f2dfb0d5b50daae2ad3dd7e9568333859bc527544ca0b0c,2025-10-11T13:00:00Z,True,True,True,0,1
94,2025-10-12T13:00:00Z,campaign_snapshot_039,2025-10-12,388569087,388915310,388756678,0x66b1b49aa897b097644a3544a032c50f6b5de5afb68e66e8859906cd250eb381,2025-10-12T12:59:59Z,388756679,0xca5a880da7e99f41d0810d895388e24d497d05a4eb5e008b7fb196647955d450,2025-10-12T13:00:00Z,True,True,True,0,1
95,2025-10-13T13:00:00Z,campaign_snapshot_040,2025-10-13,388915310,389261472,389102781,0xbcde4d7eaba25f6c6d457948704158711f465c0cf0ef9679c66037c490463ff6,2025-10-13T12:59:59Z,389102782,0x007cd982e3a9e50e22d248001a7adddb5f2a04ec386ee160a65c56338104cf55,2025-10-13T13:00:00Z,True,True,True,0,1
96,2025-10-14T13:00:00Z,campaign_snapshot_041,2025-10-14,389261472,389607741,389449079,0xea609d0e2d7bb4d1cebbf605c4f820d7efa645d0e788d8b817a29b222ad6c469,2025-10-14T12:59:59Z,389449080,0xa519bbb718be5544f7972ffdb79064deb33827a5d9d5e8485b7921d9c4b9dd52,2025-10-14T13:00:00Z,True,True,True,0,1
97,2025-10-15T13:00:00Z,campaign_snapshot_042,2025-10-15,389607741,389953872,389795232,0x7341a68b36b64391c3662b7e6b9af3ada305da1832ad67f4f7476bdd101af22d,2025-10-15T12:59:59Z,389795233,0x6277b9a7df9378d597781f2fdd60600c7cdafa26d65946791e188c4d4d34e73e,2025-10-15T13:00:00Z,True,True,True,0,1
98,2025-10-16T13:00:00Z,campaign_snapshot_043,2025-10-16,389953872,390299843,390141345,0x981b775651d13a25e8a72fe4d449b75b77f36932949de4eb702e5b4f98f964a9,2025-10-16T12:59:59Z,390141346,0x9a0df0c55c22689527d771462357cf9839ff77ac61ca51acaa06266742412c2a,2025-10-16T13:00:00Z,True,True,True,0,1
99,2025-10-17T13:00:00Z,campaign_snapshot_044,2025-10-17,390299843,390645840,390487357,0x4f0bba1ff6ca3787ea8c617b04c966c4a16f313e26bc92f3c68e0ff03535e6aa,2025-10-17T12:59:59Z,390487358,0x9a25e937c34659f95bc24dfb0cdfd86254779738ccc01705d13703fa35122c85,2025-10-17T13:00:00Z,True,True,True,0,1
100,2025-10-18T13:00:00Z,campaign_snapshot_045,2025-10-18,390645840,390991280,390833088,0xaab138ab4715be707f0db1b51990567fcaa51401fdc7efa01970fb038a3b4a10,2025-10-18T12:59:59Z,390833089,0x53906a1a2e54c8e3de6c4c4e5a0aab2a7e22232f5414d35724cac20cfde3f79d,2025-10-18T13:00:00Z,True,True,True,0,1
101,2025-10-19T13:00:00Z,campaign_snapshot_046,2025-10-19,390991280,391336660,391178802,0xb33e173b42887d1a3ca393ba11440f41aee7ae7b897c058d6e964344f44f8d6f,2025-10-19T12:59:59Z,391178803,0x7391bb9651bea3b6a50cfd3c653a53d4235cbecc0a9d9fc2ebcec819d4e9b3ad,2025-10-19T13:00:00Z,True,True,True,0,1
102,2025-10-20T13:00:00Z,campaign_snapshot_047,2025-10-20,391336660,391681911,391523909,0x9ee1b698d21db90369eff9f401350b85532396054aef207fab763848c9e7744b,2025-10-20T12:59:59Z,391523910,0x5b98643343e55ff9e59c40b303baa715aa87881260b1c83b975be207d2a60e69,2025-10-20T13:00:00Z,True,True,True,0,1
103,2025-10-21T13:00:00Z,campaign_snapshot_048,2025-10-21,391681911,392027688,391869162,0x360f3e13ba1fba61583ae7561b2f2c6805315f99171519c6daf956ec5861d754,2025-10-21T12:59:59Z,391869163,0x9884fb8fe14bcacd5aefc2d41c0ba6435e5129a6ee062dac835111f9771c7a4f,2025-10-21T13:00:00Z,True,True,True,0,1
104,2025-10-22T13:00:00Z,campaign_snapshot_049,2025-10-22,392027688,392373715,392215013,0x98dbc5a92b2caed85378b5555c05448b2d54fd0e670a904ab85bd2eabf751da9,2025-10-22T12:59:59Z,392215014,0xb1754d61325c0a49ba2d693cc54bb597ad0219d58061f218b70877c923b47f2f,2025-10-22T13:00:00Z,True,True,True,0,1
105,2025-10-23T13:00:00Z,campaign_snapshot_050,2025-10-23,392373715,392719870,392561155,0x36c7fd9f05492029bba0a0cd1ee736b160070ed59a985bb3b153829a788fe840,2025-10-23T12:59:59Z,392561156,0xbe52df6d97bcf4a8238e031d95b709746dd33dc5cd7d063bb2024918969da6b2,2025-10-23T13:00:00Z,True,True,True,0,1
106,2025-10-24T13:00:00Z,campaign_snapshot_051,2025-10-24,392719870,393066003,392907425,0x467df2a24535315fed2c4b05c9cc49da42bdea61ee9625d6e2b78fd217d077f4,2025-10-24T12:59:59Z,392907426,0x677d53c3a88a86a82b6578cface0c926cffc79788c359420de27211651d21987,2025-10-24T13:00:00Z,True,True,True,0,1
107,2025-10-25T13:00:00Z,campaign_snapshot_052,2025-10-25,393066003,393411708,393253311,0x166ad5af97afc9a7dc5d8f62789159f20895db426bf3952f3baf4fe2719725e2,2025-10-25T12:59:59Z,393253312,0xa8c8acd0a6e8a0bad93aa4a55cc7c2d77b6a47218af39bbba261f0110ec8c1ec,2025-10-25T13:00:00Z,True,True,True,0,1
108,2025-10-26T13:00:00Z,campaign_snapshot_053,2025-10-26,393411708,393757548,393599044,0xeaad7b1f9cfdb9ead6de105879187fb351d9892062694764fef5b8572027841f,2025-10-26T12:59:59Z,393599045,0x5911c71da3fca8c228aa862be4341670c53eed4d2ca6905d7f435b9ecdbb2c85,2025-10-26T13:00:00Z,True,True,True,0,1
109,2025-10-27T13:00:00Z,campaign_snapshot_054,2025-10-27,393757548,394103704,393945025,0x952f960bf22ec30fa2c2b670c14ea05dab213d71607841c6438dfdcda3054738,2025-10-27T12:59:59Z,393945026,0x3277992d83c920625b6a19be8248e5e2b07cb87db747b3249bbb88edde1e59ce,2025-10-27T13:00:00Z,True,True,True,0,1
110,2025-10-28T13:00:00Z,campaign_snapshot_055,2025-10-28,394103704,394449851,394291210,0x4a09d9155fa9d66cfb63e54efe624d35e3b7b01ab98eac04391ef899532312f3,2025-10-28T12:59:59Z,394291211,0x0d628f88c4e8e5d214c35fe66fa52a41c0424b76f553b5f8cfc24c5d0110e496,2025-10-28T13:00:00Z,True,True,True,0,1
111,2025-10-29T13:00:00Z,campaign_snapshot_056,2025-10-29,394449851,394795983,394637361,0x118dec628b0b42dfacee3facf7a7a746276d1b6e0ce9d27109795cc3336ac69c,2025-10-29T12:59:59Z,394637362,0x4e9d4519f33cbef2b82ef3b8fddcf476dae78c44322af3943be662feae2e1bb0,2025-10-29T13:00:00Z,True,True,True,0,1
112,2025-10-30T13:00:00Z,campaign_snapshot_057,2025-10-30,394795983,395142187,394983571,0x664a124bcd6d8931bfefa74271250738fb069e289b3e2495c285e466e09881e3,2025-10-30T12:59:59Z,394983572,0x78ffda191327bf283942be7c2b15bd4cfcf4bdb54eb6ca8c6beb1e7effbfba75,2025-10-30T13:00:00Z,True,True,True,0,1
113,2025-10-31T13:00:00Z,campaign_snapshot_058,2025-10-31,395142187,395488345,395329657,0x606e90e0dafa85733758150bad46b6571da770e6fbadd0d6147778d4b5e78aae,2025-10-31T12:59:59Z,395329658,0x8d4390a6e06ef8466e1165f09035abcad6a5dbeae8ed60bb5d6f87fe14078500,2025-10-31T13:00:00Z,True,True,True,0,1
114,2025-11-01T13:00:00Z,campaign_snapshot_059,2025-11-01,395488345,395834395,395675845,0xb1fad337ec2007db75d97b9bd74f86f3e17967e9bcc5393308c3e2bb7d8512e2,2025-11-01T12:59:59Z,395675846,0x662f4b08b68f68edc926c2c3cc90916a1c1ca6d889074a6a0ebadd4282e96f56,2025-11-01T13:00:00Z,True,True,True,0,1
115,2025-11-02T13:00:00Z,campaign_snapshot_060,2025-11-02,395834395,396180357,396021792,0xbac183ff8e84150ff19cd4d41e17ec63eff16b7fc0773484d6fb00f76a34910f,2025-11-02T12:59:59Z,396021793,0xe404c6a9a8962637ce7657b0edbcc09813713e85867f218b4d918928e23ebc30,2025-11-02T13:00:00Z,True,True,True,0,1
116,2025-11-03T13:00:00Z,campaign_snapshot_061,2025-11-03,396180357,396526517,396367918,0x18dacd43e035f0b9e3c80c4e0865394901f9a686f46bcbc97a1f927a13667047,2025-11-03T12:59:59Z,396367919,0x5dac1638532675e5ea14d8b8506eead35ad706cf36619044f6350ec2b162a0c0,2025-11-03T13:00:00Z,True,True,True,0,1
117,2025-11-04T13:00:00Z,campaign_snapshot_062,2025-11-04,396526517,396872725,396714015,0xfb80eaf697f3640a8fda14e4649a4f0b7b98b7b8732f97afb490ddd158d8fe58,2025-11-04T12:59:59Z,396714016,0xb1b044bd021bf37e0c68fe4dff7c65be21893338c069223dc951e29d953e87cc,2025-11-04T13:00:00Z,True,True,True,0,1
118,2025-11-05T13:00:00Z,campaign_snapshot_063,2025-11-05,396872725,397218821,397060271,0x15ff040577e1d22010b1c771ac8eaedbafb8b5f804fde317782fea757a408908,2025-11-05T12:59:59Z,397060272,0x280689783c0f285a55d77ee8a08358723b5a27cfdeebf6ed5add5cdfd73d5db3,2025-11-05T13:00:00Z,True,True,True,0,1
119,2025-11-06T13:00:00Z,campaign_snapshot_064,2025-11-06,397218821,397564877,397406279,0xf118c0527acc03fd352e9737a37778af89f04e3483df8d957b7ae2d9fa247004,2025-11-06T12:59:59Z,397406280,0x90cf1a438352eede5025dcbd8c871d9649857d08a02335a9d00073eef73a9759,2025-11-06T13:00:00Z,True,True,True,0,1
120,2025-11-07T13:00:00Z,campaign_snapshot_065,2025-11-07,397564877,397911035,397752345,0x5c39cea36a885342df13a775f1b7eb166e8c1f8caacd54768b52ecd93300c085,2025-11-07T12:59:59Z,397752346,0x2199fe14aa0ef12fb2082d24e06e537ff3a540b399fdc0c192ff6cea4ba3a815,2025-11-07T13:00:00Z,True,True,True,0,1
121,2025-11-08T13:00:00Z,campaign_snapshot_066,2025-11-08,397911035,398257000,398098516,0xd62869385367b91c39756ef22fb83b11a24c215a8a2736d0ba874c3bf89ec191,2025-11-08T12:59:59Z,398098517,0x105fa29d37d28ff39dcb69ea25bf9a9e23166b9b7e672df1ab9100c27a524f64,2025-11-08T13:00:00Z,True,True,True,0,1
122,2025-11-09T13:00:00Z,campaign_snapshot_067,2025-11-09,398257000,398602845,398444332,0xe20fcc7d945f56d293a23ba87a67e14e10f07a86713d3bd60a491d29a8403595,2025-11-09T12:59:59Z,398444333,0x96680a4c2c55229295a64d46b32cc88bc8040deab3f334720336b53fc6c1990a,2025-11-09T13:00:00Z,True,True,True,0,1
123,2025-11-10T13:00:00Z,campaign_snapshot_068,2025-11-10,398602845,398949022,398790345,0xde7952c9a9576d06d7762e8426708b55200b502ff36def3081b07fa4b2805ba1,2025-11-10T12:59:59Z,398790346,0xb546a8e5d666acf58883e095e5419d34e96555a5f3bc879e5679bc3178b5ec90,2025-11-10T13:00:00Z,True,True,True,0,1
124,2025-11-11T13:00:00Z,campaign_snapshot_069,2025-11-11,398949022,399294999,399136481,0xca9c16fa995dcc320c4ab08130d16f205b7ba5b095361d2132e1e6ddad33368e,2025-11-11T12:59:59Z,399136482,0xf9ee45485133e95ef01dece4c60c70953a3083a944b4caacb8d19d6f31185610,2025-11-11T13:00:00Z,True,True,True,0,1
125,2025-11-12T13:00:00Z,campaign_snapshot_070,2025-11-12,399294999,399640945,399482380,0xed8f138aaef1db1a8012e4486d41d2180d6c324d456eb9805bd77a83e0478f81,2025-11-12T12:59:59Z,399482381,0xea85fa1917eb4170d0e849d0bab23d648f8bf97bb2706806ac0ff823782f1ac7,2025-11-12T13:00:00Z,True,True,True,0,1
126,2025-11-13T13:00:00Z,campaign_snapshot_071,2025-11-13,399640945,399987060,399828445,0x01a92aafa4ddd62770a425edb030bcadbb0109ced4c4a19709f348eac6e2d6dc,2025-11-13T12:59:59Z,399828446,0xd5d1a73169f650e87dd462e9dd6379d64a357b28f2b423bba572adba7c9efa1d,2025-11-13T13:00:00Z,True,True,True,0,1
127,2025-11-14T13:00:00Z,campaign_snapshot_072,2025-11-14,399987060,400333080,400174581,0x33b14e33a5aca8f7204b17ecbd12f6fa103ae2c0e5f35810260f921d97c5e6c3,2025-11-14T12:59:59Z,400174582,0x080fe2100ca0779fc4286a5fa8048973037bc2ffd7b122d03098fea65ac6e54e,2025-11-14T13:00:00Z,True,True,True,0,1
128,2025-11-15T13:00:00Z,campaign_snapshot_073,2025-11-15,400333080,400677953,400520277,0x4bce6dd230263d51eeb4c29570ad90d5f0e70f25e60b0d548735935799671ed4,2025-11-15T12:59:59Z,400520278,0x97222ce7802ae574c4edb81bbae1aff0a50ab924ec8579904fba6818416959fd,2025-11-15T13:00:00Z,True,True,True,0,1
129,2025-11-16T13:00:00Z,campaign_snapshot_074,2025-11-16,400677953,401023368,400865068,0x5463acc8b1442b6ae1cbe2fdb6a0206a44f3260713b643b0d9866f1c2b5e302d,2025-11-16T12:59:59Z,400865069,0x53832974cd2b4afa92954763654f3fd1d4751cd11d580087a815ae23dc39dc27,2025-11-16T13:00:00Z,True,True,True,0,1
130,2025-11-17T13:00:00Z,campaign_snapshot_075,2025-11-17,401023368,401369178,401210611,0x8aabc2ef80c9309bbddbfa935548359c5d2cba7b035aee05eea7e614a0a10d99,2025-11-17T12:59:59Z,401210612,0x38caa3bfe3ed8af94c27b3934a55d15263ff1851b4e9c34bff24183cc52056ec,2025-11-17T13:00:00Z,True,True,True,0,1
131,2025-11-18T13:00:00Z,campaign_snapshot_076,2025-11-18,401369178,401714881,401556561,0xd4f0bee822a7a0225f919d7c536a07fdc725ce373057bfd035772363e4c1ad3c,2025-11-18T12:59:59Z,401556562,0x9fa5a59286dfe4e95e40faccbf050fc9f163ebe92ed206b47d7d91f6d44ea1f2,2025-11-18T13:00:00Z,True,True,True,0,1
132,2025-11-19T13:00:00Z,campaign_snapshot_077,2025-11-19,401714881,402060763,401902245,0x28cb1f3872cbc23671bd014a9feacc217e755bcb392e11eecbf0fbea6d3e75d4,2025-11-19T12:59:59Z,401902246,0x741d6873a2d9dbeb1bbf81a2798ac4d71e8ca9ebdab4049751092e72a3a124ab,2025-11-19T13:00:00Z,True,True,True,0,1
133,2025-11-20T13:00:00Z,campaign_snapshot_078,2025-11-20,402060763,402406626,402248059,0x6a866cbebdbfd3147000285600757051af5838705ca57f23705d6ef2f815c2c1,2025-11-20T12:59:59Z,402248060,0x7b11970385c488ea5ad026f825388ab5db267437dbde2bdcae2c019b01a664ba,2025-11-20T13:00:00Z,True,True,True,0,1
134,2025-11-21T13:00:00Z,campaign_snapshot_079,2025-11-21,402406626,402752730,402594217,0xb65d570889ee65a5cfdfbbc5c003a445b4fb0ef1ba6787c2a9e65e2a7781eccb,2025-11-21T12:59:59Z,402594218,0x20bc562a83eaeb35b5122b5d9f0d739fdca8cf4f5fef3568cf73149cb1eb9f76,2025-11-21T13:00:00Z,True,True,True,0,1
135,2025-11-22T13:00:00Z,campaign_snapshot_080,2025-11-22,402752730,403097589,402939909,0x3379ab302d4c8f6eb6bbc3f40d0cba463a87650cea1e4f01e52cf286ccbd9b51,2025-11-22T12:59:59Z,402939910,0xbdad3368f76201378f0ee8409e0b5c082c823a5d630a9eaa8c251de31a60290f,2025-11-22T13:00:00Z,True,True,True,0,1
136,2025-11-23T13:00:00Z,campaign_snapshot_081,2025-11-23,403097589,403441737,403284442,0xa1cfc18c7150553d66ce1c354be87daa57713594e3b55f9196f00bd4812ead22,2025-11-23T12:59:59Z,403284443,0x26ff0a1304d9cb9761a4cd61a6714ca1254df3b71f0ec3b52176bfb75b7d0186,2025-11-23T13:00:00Z,True,True,True,0,1
137,2025-11-24T13:00:00Z,campaign_snapshot_082,2025-11-24,403441737,403787376,403628883,0x6831dc8b767600cd5e6619afd763efabf3f012ac797fd665ff8e23dede40c97f,2025-11-24T12:59:59Z,403628884,0x6ab0a18d6800d37e23835df3d6155b37d479145823fff853526c9dc6cc547504,2025-11-24T13:00:00Z,True,True,True,0,1
138,2025-11-25T13:00:00Z,campaign_snapshot_083,2025-11-25,403787376,404133629,403974974,0xaca0917930db46ea447d4fd08f9e5d4fbffbccf86df7f4e989a645e2d6cf5af9,2025-11-25T12:59:59Z,403974975,0x1a8c765b633cb1dbbc782fd4cadb687f111fa147bec78600026852111e697308,2025-11-25T13:00:00Z,True,True,True,0,1
139,2025-11-26T13:00:00Z,campaign_snapshot_084,2025-11-26,404133629,404479803,404321079,0x56d0161214580fd46de73bc6760671d4d34295a118accb97e6dd02a7c77009c1,2025-11-26T12:59:59Z,404321080,0x390c87e3ebc7ca6d299fbd5e88de4ef347f8fa627a81f203554155eb7c8f73dd,2025-11-26T13:00:00Z,True,True,True,0,1
140,2025-11-27T13:00:00Z,campaign_snapshot_085,2025-11-27,404479803,404825905,404667406,0x1a7dfda0531cc1d43fc51294f1006052136c8267f281d90699e68a02a2ab6235,2025-11-27T12:59:59Z,404667407,0xbe3eedea6f3d64c943f3da874d2cd8d1518f4f67d966558112fd2cbbef91a4ef,2025-11-27T13:00:00Z,True,True,True,0,1
141,2025-11-28T13:00:00Z,campaign_snapshot_086,2025-11-28,404825905,405171747,405013347,0x318bd0c72f373cfb13112553fe306baed096d22987732b6ed3c9ce2339755f8d,2025-11-28T12:59:59Z,405013348,0xfa84aaf3effa5bdd08689833ade855ca9bed6451466f774f616a2b38ce5c94c5,2025-11-28T13:00:00Z,True,True,True,0,1
142,2025-11-29T13:00:00Z,campaign_snapshot_087,2025-11-29,405171747,405517394,405359089,0xa3a419f6fbadd9c075abe4dfebfd673d58259aa1cb951505bb7017fb4f7ba191,2025-11-29T12:59:59Z,405359090,0xf4370638eebce4d0282dc814311fe21b317a389f9baa3419422e4d4505604c97,2025-11-29T13:00:00Z,True,True,True,0,1
143,2025-11-30T13:00:00Z,campaign_snapshot_088,2025-11-30,405517394,405863596,405704827,0xf00e3a8968b9044ebbaf8aa625bd2318a4247569527046e9752c088fac722c5e,2025-11-30T12:59:59Z,405704828,0xd5153db42d7c19442403f8bfd4f50f2e571eb8cc938c71b084a07d6ed495558f,2025-11-30T13:00:00Z,True,True,True,0,1
144,2025-12-01T13:00:00Z,campaign_snapshot_089,2025-12-01,405863596,406210383,406051446,0x97bfc4205afdc20b80e41b4f76f0ab290f029f962357c85848642844f6df716d,2025-12-01T12:59:59Z,406051447,0x6be13e9fdb629bde8ad3dd190107f3351b4e2ac8f780baca662177ea8982e596,2025-12-01T13:00:00Z,True,True,True,0,1
145,2025-12-02T13:00:00Z,campaign_snapshot_090,2025-12-02,406210383,406557036,406398164,0x1b9b8b02cdc8a99b54521c02a50e884abb04b4b10ab21d5d3ed792357d8c3081,2025-12-02T12:59:59Z,406398165,0xc49162967d99a89430d846fe5556066ebacd72b67f4d80c91ba1bfcf99cf3d1b,2025-12-02T13:00:00Z,True,True,True,0,1
146,2025-12-03T13:00:00Z,campaign_snapshot_091,2025-12-03,406557036,406903362,406744675,0x1ebe32576d50b07c1573076eba225ef79064acf5c07fc42cdde09c44fd940969,2025-12-03T12:59:59Z,406744676,0xafc47b7dcdb93638a5bc8dab350d8d5715ab16fd546b50ea3f4253a3def1d23a,2025-12-03T13:00:00Z,True,True,True,0,1
147,2025-12-04T13:00:00Z,campaign_snapshot_092,2025-12-04,406903362,407249365,407090576,0x35dc5829573272f40e57cbd620176757fe67f1962ca743ab971c556d3c357b0d,2025-12-04T12:59:59Z,407090577,0x531e0b909b21493530490cc6b8454faf8f3c513e05c3a2b8cb1fd7b9936e3acd,2025-12-04T13:00:00Z,True,True,True,0,1
148,2025-12-05T13:00:00Z,campaign_snapshot_093,2025-12-05,407249365,407596119,407437241,0xce528d93b7fc85715982b3e4720a2540a9deb0700a705363c063eec250c459fa,2025-12-05T12:59:59Z,407437242,0x98cf0ec674edb04b905fa06682bfb792b9ad6a33db2adb0fbabd9111c025cfa3,2025-12-05T13:00:00Z,True,True,True,0,1
149,2025-12-06T13:00:00Z,campaign_snapshot_094,2025-12-06,407596119,407942726,407783908,0xac147b025ede07ee272e0fba237d0bda7f3df1245e70a15f16b33629fd64974e,2025-12-06T12:59:59Z,407783909,0xbdfb8bb0a86b87c6f4421aaa7cb8b8c51923fba6e16cff10aefef2e7ce064e17,2025-12-06T13:00:00Z,True,True,True,0,1
150,2025-12-07T13:00:00Z,campaign_snapshot_095,2025-12-07,407942726,408289245,408130476,0x28b1068fd00565f7e9bdcb6b3097d20923ae8b0e399f8471ae58edfe545448b8,2025-12-07T12:59:59Z,408130477,0x6f611ba54a8d5e6e429cecfa6fe5a9c5c9ec8749dd55fd924c080ef0b3637bc5,2025-12-07T13:00:00Z,True,True,True,0,1
151,2025-12-08T13:00:00Z,campaign_snapshot_096,2025-12-08,408289245,408635723,408476894,0x6b45aaa8a4061a790746a04ad91a92fc2c01d25dab59a6bb7d42510a33c2d91b,2025-12-08T12:59:59Z,408476895,0x8c308cc4f9534c3b4618da791f3a9a24e1d198ec03584d962951e71cec2f871a,2025-12-08T13:00:00Z,True,True,True,0,1
152,2025-12-09T13:00:00Z,campaign_snapshot_097,2025-12-09,408635723,408982122,408823315,0x7809ca16a0b4ead37030cacda25c82d923b586d034f2adba5b1f5fda8e7cd5c7,2025-12-09T12:59:59Z,408823316,0x7c863cf068c413d248cd0fd10194ba8bad0c7b3a2f17b871f36cd332b92e4dd9,2025-12-09T13:00:00Z,True,True,True,0,1
